n,k,seed,algorithm,correct,dt
10,3,7689389962991299404,graham_scan,True,72471
10,3,7689389962991299404,gift_wrapping,True,20892
10,4,9183400915065220899,graham_scan,True,61048
10,4,9183400915065220899,gift_wrapping,True,25857
10,6,9642441113145333703,graham_scan,True,63836
10,6,9642441113145333703,gift_wrapping,True,37194
10,8,17173838064277146557,graham_scan,True,61874
10,8,17173838064277146557,gift_wrapping,True,48462
10,10,411658099026955759,graham_scan,True,58497
10,10,411658099026955759,gift_wrapping,True,60103
42,3,4757605545663538628,graham_scan,True,262608
42,3,4757605545663538628,gift_wrapping,True,79540
42,12,10332132458964177444,graham_scan,True,249515
42,12,10332132458964177444,gift_wrapping,True,308522
42,22,12379458329681208429,graham_scan,True,250534
42,22,12379458329681208429,gift_wrapping,True,578736
42,32,18163034022937235140,graham_scan,True,243030
42,32,18163034022937235140,gift_wrapping,True,807533
42,42,5392819766029451698,graham_scan,True,259417
42,42,5392819766029451698,gift_wrapping,True,1103700
177,3,7100514892575384604,graham_scan,True,1194969
177,3,7100514892575384604,gift_wrapping,True,341756
177,46,400279926835479281,graham_scan,True,1254147
177,46,400279926835479281,gift_wrapping,True,5611113
177,90,9666560239007458671,graham_scan,True,1175585
177,90,9666560239007458671,gift_wrapping,True,10649031
177,133,9413393456488643966,graham_scan,True,1097283
177,133,9413393456488643966,gift_wrapping,True,15890619
177,177,354886801026847670,graham_scan,True,1056343
177,177,354886801026847670,gift_wrapping,True,21467330
749,3,13420266319963701696,graham_scan,True,5939364
749,3,13420266319963701696,gift_wrapping,True,1582084
749,189,1570611148799424181,graham_scan,True,5140864
749,189,1570611148799424181,gift_wrapping,True,94308097
749,376,4285617633056908931,graham_scan,True,4737701
749,376,4285617633056908931,gift_wrapping,True,177101796
749,562,16532024047034689259,graham_scan,True,4663476
749,562,16532024047034689259,gift_wrapping,True,268429192
749,749,9635820655224619560,graham_scan,True,4559689
749,749,9635820655224619560,gift_wrapping,True,351934017
3162,3,5969359158034815407,graham_scan,True,23822625
3162,3,5969359158034815407,gift_wrapping,True,7297863
3162,792,5154244509465713072,graham_scan,True,26364985
3162,792,5154244509465713072,gift_wrapping,True,1548047917
3162,1582,2980857805462765833,graham_scan,True,28342346
3162,1582,2980857805462765833,gift_wrapping,True,3079688529
3162,2372,14237617589395087038,graham_scan,True,29636828
3162,2372,14237617589395087038,gift_wrapping,True,4604168069
3162,3162,3570243099078438056,graham_scan,True,30546347
3162,3162,3570243099078438056,gift_wrapping,True,6116471205
