n,k,seed,algorithm,correct,dt
3,3,969320096421634136,chan,True,53925
3,3,969320096421634136,chan2,True,1749
4,3,12255877800055660732,chan,True,64030
4,3,12255877800055660732,chan2,False,58257
4,4,13914847971740414141,chan,True,68451
4,4,13914847971740414141,chan2,True,59896
6,3,6591859054983651236,chan,True,94263
6,3,6591859054983651236,chan2,True,84804
6,4,16234763024381563058,chan,True,97142
6,4,16234763024381563058,chan2,False,84615
6,5,10140406778954267691,chan,True,90396
6,5,10140406778954267691,chan2,False,79571
6,6,14475316547091353979,chan,True,93883
6,6,14475316547091353979,chan2,True,83124
9,3,16861544928599131281,chan,True,136977
9,3,16861544928599131281,chan2,True,125910
9,4,7399800453755156077,chan,True,132306
9,4,7399800453755156077,chan2,False,197061
9,5,1615360707744816097,chan,True,133180
9,5,1615360707744816097,chan2,True,153910
9,6,6475947778234249518,chan,True,133039
9,6,6475947778234249518,chan2,True,157359
9,7,16927619585875388078,chan,True,131542
9,7,16927619585875388078,chan2,False,119523
9,9,8871048586644005337,chan,True,186590
9,9,8871048586644005337,chan2,True,174196
14,3,7595189370754119033,chan,True,220349
14,3,7595189370754119033,chan2,False,218794
14,4,12430824807196485280,chan,True,239271
14,4,12430824807196485280,chan2,True,237715
14,5,17862693438936247372,chan,True,340431
14,5,17862693438936247372,chan2,True,236956
14,7,8712857747930202796,chan,True,307589
14,7,8712857747930202796,chan2,False,239232
14,8,13849172772069391525,chan,True,260590
14,8,13849172772069391525,chan2,False,306171
14,9,10380869776864373161,chan,True,348529
14,9,10380869776864373161,chan2,False,231991
14,11,3614278083157405157,chan,True,342807
14,11,3614278083157405157,chan2,False,319897
14,14,15102959835159509013,chan,True,361532
14,14,15102959835159509013,chan2,True,312192
21,3,3388825969194906070,chan,True,343562
21,3,3388825969194906070,chan2,True,313157
21,4,5753780696207018607,chan,True,311212
21,4,5753780696207018607,chan2,False,302131
21,5,6358465616571044328,chan,True,342457
21,5,6358465616571044328,chan2,False,338966
21,7,7981301687411853382,chan,True,467780
21,7,7981301687411853382,chan2,False,515835
21,8,18004426855820632780,chan,True,429762
21,8,18004426855820632780,chan2,True,621008
21,10,1432307691629638215,chan,True,660483
21,10,1432307691629638215,chan2,False,511141
21,13,12586915490227507500,chan,True,513765
21,13,12586915490227507500,chan2,False,486631
21,16,4869734590209301321,chan,True,528151
21,16,4869734590209301321,chan2,True,667930
21,21,18224717203011239833,chan,True,532457
21,21,18224717203011239833,chan2,True,486945
31,3,12581845122782966986,chan,True,503574
31,3,12581845122782966986,chan2,False,507001
31,5,8647683136009223669,chan,True,510675
31,5,8647683136009223669,chan2,False,533843
31,6,12122117695418842649,chan,True,588161
31,6,12122117695418842649,chan2,False,578870
31,8,10287459599701378377,chan,True,604298
31,8,10287459599701378377,chan2,False,729320
31,10,2974591892621264676,chan,True,934567
31,10,2974591892621264676,chan2,True,837063
31,14,1858992324872737465,chan,True,754063
31,14,1858992324872737465,chan2,True,849910
31,18,11997787213406917329,chan,True,687775
31,18,11997787213406917329,chan2,True,811676
31,23,13749682469291448001,chan,True,742400
31,23,13749682469291448001,chan2,False,714840
31,31,3422759798352961596,chan,True,775474
31,31,3422759798352961596,chan2,True,775577
45,3,17256738565602398785,chan,True,686845
