n,k,seed,algorithm,correct,dt
45,3,17256738565602398785,chan2,True,686470
45,4,2192058828874453594,chan,True,874424
45,4,2192058828874453594,chan2,True,850273
45,5,12397334070486635890,chan,True,1388395
45,5,12397334070486635890,chan2,False,744300
45,7,9233182507599390252,chan,True,800497
45,7,9233182507599390252,chan2,False,1124588
45,9,4754955739913545132,chan,True,1703559
45,9,4754955739913545132,chan2,False,1087803
45,13,15688963833580314935,chan,True,1071000
45,13,15688963833580314935,chan2,False,1306014
45,18,6740592299136344834,chan,True,1031498
45,18,6740592299136344834,chan2,True,1395476
45,24,17868017263821355764,chan,True,1136026
45,24,17868017263821355764,chan2,True,1180874
45,33,6952990798441327541,chan,True,998575
45,33,6952990798441327541,chan2,False,956520
45,45,18044328621775368732,chan,True,1171550
45,45,18044328621775368732,chan2,True,1123114
67,3,1677457982724006504,chan,True,1049190
67,3,1677457982724006504,chan2,True,1018724
67,4,1399390071670753088,chan,True,1094425
67,4,1399390071670753088,chan2,True,1341140
67,5,7079981396832844237,chan,True,1182989
67,5,7079981396832844237,chan2,True,1155109
67,8,15981502919878998013,chan,True,1298805
67,8,15981502919878998013,chan2,False,1242811
67,11,6120692774485601605,chan,True,1552952
67,11,6120692774485601605,chan2,True,1602979
67,16,9401897079827832908,chan,True,1453152
67,16,9401897079827832908,chan2,True,1564692
67,23,13049367123195631327,chan,True,1906644
67,23,13049367123195631327,chan2,True,1851086
67,33,7502793932784346786,chan,True,1517765
67,33,7502793932784346786,chan2,True,1685112
67,47,14048810984350336532,chan,True,1544968
67,47,14048810984350336532,chan2,False,1500526
67,67,8682534291638971457,chan,True,1628127
67,67,8682534291638971457,chan2,True,1624483
100,3,5226659470821943497,chan,True,1832394
100,3,5226659470821943497,chan2,True,1541622
100,4,2504660223137054630,chan,True,1592605
100,4,2504660223137054630,chan2,True,1534679
100,6,11124670089986846860,chan,True,1726606
100,6,11124670089986846860,chan2,False,1740291
100,9,18049033348479077647,chan,True,2249869
100,9,18049033348479077647,chan2,False,2624676
100,14,2379722237850732023,chan,True,2267990
100,14,2379722237850732023,chan2,False,2116118
100,21,2370903962198423049,chan,True,2173789
100,21,2370903962198423049,chan2,True,2291087
100,31,6177050064304970547,chan,True,2325693
100,31,6177050064304970547,chan2,False,2668976
100,45,12538746016495414195,chan,True,2181884
100,45,12538746016495414195,chan2,False,2082035
100,67,15716652187700346252,chan,True,2408652
100,67,15716652187700346252,chan2,False,2255931
100,100,17054423593621132923,chan,True,5055824
100,100,17054423593621132923,chan2,True,4522076
